,Date,State,Confirmed,Deceased,Recovered,State_Name
427,04-Jun-20,UT,68,2,38,Uttarakhand
428,04-Jun-20,WB,368,10,188,West Bengal
429,04-May-20,AN,0,0,0,Andaman and Nicobar Islands
430,04-May-20,AP,67,0,36,Andhra Pradesh
431,04-May-20,AR,0,0,0,Arunachal Pradesh
432,04-May-20,AS,0,0,0,Assam
433,04-May-20,BR,11,0,3,Bihar
434,04-May-20,CH,5,0,2,Chandigarh
435,04-May-20,CT,1,0,0,Chhattisgarh
436,04-May-20,DD,0,0,0,Daman and Diu
437,04-May-20,DL,349,0,69,Delhi
438,04-May-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
439,04-May-20,GA,0,0,0,Goa
440,04-May-20,GJ,376,29,153,Gujarat
441,04-May-20,HP,1,0,0,Himachal Pradesh
442,04-May-20,HR,75,1,9,Haryana
443,04-May-20,JH,0,0,0,Jharkhand
444,04-May-20,JK,25,0,16,Jammu and Kashmir
445,04-May-20,KA,37,2,28,Karnataka
446,04-May-20,KL,0,0,61,Kerala
447,04-May-20,LA,0,0,0,Ladakh
448,04-May-20,LD,0,0,0,Lakshadweep
449,04-May-20,MH,1567,35,350,Maharashtra
450,04-May-20,ML,0,0,0,Meghalaya
451,04-May-20,MN,0,0,0,Manipur
452,04-May-20,MP,105,9,58,Madhya Pradesh
453,04-May-20,MZ,0,0,0,Mizoram
454,04-May-20,NL,0,0,0,Nagaland
455,04-May-20,OR,7,0,0,Odisha
456,04-May-20,PB,130,2,11,Punjab
457,04-May-20,PY,0,0,0,Puducherry
458,04-May-20,RJ,175,6,82,Rajasthan
459,04-May-20,SK,0,0,0,Sikkim
460,04-May-20,TG,3,0,40,Telangana
461,04-May-20,TN,527,1,30,Tamil Nadu
462,04-May-20,TR,13,0,0,Tripura
463,04-May-20,TT,3656,103,1082,Total
464,04-May-20,UN,0,0,0,State Unassigned
465,04-May-20,UP,121,7,48,Uttar Pradesh
466,04-May-20,UT,0,0,0,Uttarakhand
467,04-May-20,WB,61,11,86,West Bengal
468,05-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
469,05-Apr-20,AP,64,0,3,Andhra Pradesh
470,05-Apr-20,AR,0,0,0,Arunachal Pradesh
471,05-Apr-20,AS,0,0,0,Assam
472,05-Apr-20,BR,0,0,0,Bihar
473,05-Apr-20,CH,0,0,2,Chandigarh
474,05-Apr-20,CT,0,0,5,Chhattisgarh
475,05-Apr-20,DD,0,0,0,Daman and Diu
476,05-Apr-20,DL,58,1,0,Delhi
477,05-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
478,05-Apr-20,GA,0,0,0,Goa
479,05-Apr-20,GJ,20,1,8,Gujarat
480,05-Apr-20,HP,1,0,0,Himachal Pradesh
481,05-Apr-20,HR,6,0,0,Haryana
482,05-Apr-20,JH,1,0,0,Jharkhand
483,05-Apr-20,JK,14,0,1,Jammu and Kashmir
484,05-Apr-20,KA,7,0,1,Karnataka
485,05-Apr-20,KL,8,0,6,Kerala
486,05-Apr-20,LA,0,0,0,Ladakh
487,05-Apr-20,LD,0,0,0,Lakshadweep
488,05-Apr-20,MH,112,13,4,Maharashtra
489,05-Apr-20,ML,0,0,0,Meghalaya
490,05-Apr-20,MN,0,0,0,Manipur
491,05-Apr-20,MP,14,2,3,Madhya Pradesh
492,05-Apr-20,MZ,0,0,0,Mizoram
493,05-Apr-20,NL,0,0,0,Nagaland
494,05-Apr-20,OR,18,0,0,Odisha
495,05-Apr-20,PB,3,2,1,Punjab
496,05-Apr-20,PY,0,0,0,Puducherry
497,05-Apr-20,RJ,60,0,0,Rajasthan
498,05-Apr-20,SK,0,0,0,Sikkim
499,05-Apr-20,TG,62,0,0,Telangana
500,05-Apr-20,TN,86,2,0,Tamil Nadu
501,05-Apr-20,TR,0,0,0,Tripura
502,05-Apr-20,TT,609,22,43,Total
503,05-Apr-20,UN,0,0,0,State Unassigned
504,05-Apr-20,UP,44,1,0,Uttar Pradesh
505,05-Apr-20,UT,4,0,2,Uttarakhand
506,05-Apr-20,WB,27,0,7,West Bengal
